Длина,Высота,Шерстист,Гавкает,Лазает по деревьям,Вид
15,18.0,1,1,0,собачка
20,24.0,1,0,0,собачка
34,40.8,1,1,0,собачка
26,31.2,1,1,0,собачка
16,19.2,1,1,0,собачка
26,31.2,1,0,0,собачка
20,24.0,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
21,25.2,1,1,0,собачка
28,33.6,1,1,0,собачка
29,34.8,1,1,0,собачка
34,40.8,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
19,22.8,1,0,0,собачка
28,33.6,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
16,19.2,1,0,0,собачка
27,32.4,1,1,0,собачка
26,31.2,1,1,0,собачка
22,26.4,1,1,0,собачка
30,36.0,1,1,0,собачка
27,32.4,1,1,0,собачка
33,39.6,1,1,0,собачка
28,33.6,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
27,32.4,1,1,0,собачка
25,30.0,1,1,0,собачка
22,26.4,1,1,0,собачка
29,34.8,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
16,19.2,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
26,31.2,1,1,0,собачка
29,34.8,1,1,0,собачка
19,22.8,1,1,0,собачка
25,30.0,1,1,0,собачка
29,34.8,1,0,0,собачка
33,39.6,1,1,0,собачка
19,22.8,1,1,0,собачка
25,30.0,0,1,0,собачка
23,27.599999999999998,1,1,0,собачка
16,19.2,1,1,0,собачка
22,26.4,1,1,0,собачка
33,39.6,1,1,0,собачка
27,32.4,1,1,0,собачка
26,31.2,1,1,0,собачка
26,31.2,1,1,0,собачка
34,40.8,1,1,0,собачка
25,30.0,1,1,0,собачка
22,26.4,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
34,40.8,1,1,0,собачка
17,20.4,1,0,0,собачка
32,38.4,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
20,24.0,1,1,0,собачка
30,36.0,1,1,0,собачка
29,34.8,1,1,0,собачка
19,22.8,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
16,19.2,1,1,0,собачка
34,40.8,1,1,0,собачка
28,33.6,1,1,0,собачка
29,34.8,1,1,1,собачка
31,37.199999999999996,1,1,0,собачка
16,19.2,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
33,39.6,1,1,0,собачка
20,24.0,1,1,0,собачка
25,30.0,1,1,0,собачка
28,33.6,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
17,20.4,1,1,0,собачка
28,33.6,1,1,0,собачка
22,26.4,1,1,0,собачка
15,18.0,1,1,0,собачка
16,19.2,1,1,0,собачка
17,20.4,1,1,0,собачка
19,22.8,1,1,0,собачка
19,22.8,1,1,0,собачка
28,33.6,1,1,0,собачка
26,31.2,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
26,31.2,1,1,0,собачка
21,25.2,1,1,0,собачка
21,25.2,0,1,0,собачка
33,39.6,1,0,0,собачка
32,38.4,1,0,0,собачка
19,22.8,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
17,20.4,1,1,0,собачка
19,22.8,1,1,0,собачка
16,19.2,1,1,0,собачка
27,32.4,1,1,0,собачка
17,20.4,1,1,0,собачка
25,30.0,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
32,38.4,1,1,0,собачка
25,30.0,1,1,0,собачка
30,36.0,1,0,0,собачка
34,40.8,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
32,38.4,1,1,0,собачка
34,40.8,1,1,0,собачка
29,34.8,1,1,1,собачка
19,22.8,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
22,26.4,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
26,31.2,1,1,0,собачка
33,39.6,1,1,0,собачка
31,37.199999999999996,1,0,0,собачка
16,19.2,1,1,0,собачка
34,40.8,1,1,0,собачка
27,32.4,1,1,0,собачка
25,30.0,1,0,0,собачка
24,28.799999999999997,1,1,0,собачка
26,31.2,1,1,0,собачка
25,30.0,1,1,0,собачка
25,30.0,1,1,0,собачка
30,36.0,1,1,0,собачка
30,36.0,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
34,40.8,1,1,0,собачка
21,25.2,1,1,0,собачка
19,22.8,1,1,0,собачка
28,33.6,1,1,0,собачка
31,37.199999999999996,1,0,0,собачка
22,26.4,1,1,0,собачка
21,25.2,1,1,0,собачка
25,30.0,1,1,0,собачка
26,31.2,1,1,0,собачка
15,18.0,1,0,0,собачка
31,37.199999999999996,1,1,0,собачка
32,38.4,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
33,39.6,1,1,0,собачка
25,30.0,1,1,0,собачка
30,36.0,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
21,25.2,1,0,0,собачка
19,22.8,1,1,0,собачка
20,24.0,1,1,0,собачка
26,31.2,1,1,0,собачка
22,26.4,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
26,31.2,1,1,0,собачка
30,36.0,1,1,0,собачка
18,21.599999999999998,1,0,0,собачка
17,20.4,1,1,0,собачка
20,24.0,1,0,0,собачка
28,33.6,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
32,38.4,1,1,0,собачка
34,40.8,1,1,0,собачка
25,30.0,0,1,0,собачка
16,19.2,1,1,0,собачка
15,18.0,1,1,0,собачка
26,31.2,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
33,39.6,1,1,0,собачка
22,26.4,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
16,19.2,1,1,0,собачка
28,33.6,1,1,0,собачка
21,25.2,1,1,0,собачка
15,18.0,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
34,40.8,1,1,0,собачка
21,25.2,1,1,0,собачка
16,19.2,1,1,0,собачка
33,39.6,1,0,0,собачка
17,20.4,1,0,0,собачка
26,31.2,1,1,0,собачка
20,24.0,1,1,0,собачка
33,39.6,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
16,19.2,1,1,0,собачка
20,24.0,1,0,0,собачка
25,30.0,1,0,0,собачка
24,28.799999999999997,1,1,0,собачка
34,40.8,1,1,0,собачка
22,26.4,1,1,0,собачка
30,36.0,1,1,0,собачка
21,25.2,1,1,0,собачка
30,36.0,1,1,0,собачка
30,36.0,1,1,0,собачка
33,39.6,1,1,0,собачка
19,22.8,1,1,0,собачка
26,31.2,1,1,0,собачка
32,38.4,1,1,0,собачка
18,21.599999999999998,1,0,0,собачка
33,39.6,1,1,0,собачка
33,39.6,1,1,0,собачка
16,19.2,1,1,0,собачка
28,33.6,1,1,0,собачка
22,26.4,1,1,0,собачка
22,26.4,1,1,0,собачка
30,36.0,1,1,0,собачка
22,26.4,1,1,0,собачка
28,33.6,1,0,0,собачка
24,28.799999999999997,1,1,0,собачка
20,24.0,1,1,0,собачка
22,26.4,1,1,0,собачка
25,30.0,1,1,0,собачка
18,21.599999999999998,1,0,0,собачка
22,26.4,1,1,0,собачка
29,34.8,1,1,0,собачка
26,31.2,1,1,0,собачка
29,34.8,1,1,0,собачка
33,39.6,1,1,0,собачка
25,30.0,1,1,0,собачка
22,26.4,1,0,0,собачка
28,33.6,1,1,0,собачка
33,39.6,1,0,0,собачка
27,32.4,1,1,0,собачка
33,39.6,1,0,0,собачка
33,39.6,1,1,0,собачка
19,22.8,1,1,0,собачка
29,34.8,1,1,0,собачка
16,19.2,1,1,0,собачка
25,30.0,1,1,0,собачка
25,30.0,1,1,0,собачка
29,34.8,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
19,22.8,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
28,33.6,1,1,0,собачка
16,19.2,1,1,0,собачка
17,20.4,1,1,0,собачка
15,18.0,1,1,0,собачка
20,24.0,1,1,0,собачка
17,20.4,1,0,0,собачка
23,27.599999999999998,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
17,20.4,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
15,18.0,1,1,0,собачка
16,19.2,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
19,22.8,1,0,0,собачка
29,34.8,1,1,0,собачка
17,20.4,1,0,0,собачка
24,28.799999999999997,1,1,0,собачка
16,19.2,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
26,31.2,1,1,0,собачка
20,24.0,1,1,0,собачка
19,22.8,1,1,0,собачка
25,30.0,1,1,0,собачка
30,36.0,1,1,0,собачка
27,32.4,1,1,0,собачка
17,20.4,1,0,0,собачка
26,31.2,1,0,0,собачка
22,26.4,1,1,0,собачка
25,30.0,1,1,0,собачка
27,32.4,0,1,0,собачка
21,25.2,1,1,0,собачка
25,30.0,1,1,0,собачка
33,39.6,1,1,0,собачка
20,24.0,1,1,0,собачка
30,36.0,1,1,0,собачка
28,33.6,1,1,0,собачка
27,32.4,1,0,0,собачка
32,38.4,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
16,19.2,0,1,0,собачка
20,24.0,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
28,33.6,1,1,0,собачка
28,33.6,1,1,0,собачка
26,31.2,1,1,0,собачка
33,39.6,1,1,0,собачка
29,34.8,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
19,22.8,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
33,39.6,1,1,0,собачка
30,36.0,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
28,33.6,1,1,0,собачка
25,30.0,1,1,0,собачка
15,18.0,1,1,0,собачка
21,25.2,1,1,0,собачка
28,33.6,1,1,0,собачка
33,39.6,1,1,0,собачка
26,31.2,1,1,0,собачка
20,24.0,1,1,0,собачка
20,24.0,1,1,0,собачка
27,32.4,1,1,0,собачка
30,36.0,1,1,0,собачка
17,20.4,1,0,0,собачка
34,40.8,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
29,34.8,1,1,0,собачка
26,31.2,1,1,0,собачка
32,38.4,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
20,24.0,1,1,0,собачка
20,24.0,1,1,0,собачка
27,32.4,1,1,0,собачка
21,25.2,1,1,0,собачка
34,40.8,1,1,0,собачка
17,20.4,1,1,0,собачка
33,39.6,1,1,0,собачка
32,38.4,1,1,0,собачка
29,34.8,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
22,26.4,1,1,0,собачка
20,24.0,1,1,0,собачка
16,19.2,1,1,0,собачка
15,18.0,1,0,0,собачка
31,37.199999999999996,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
29,34.8,1,1,0,собачка
27,32.4,1,0,0,собачка
24,28.799999999999997,1,1,0,собачка
28,33.6,1,1,0,собачка
26,31.2,1,1,0,собачка
33,39.6,1,0,0,собачка
34,40.8,1,1,0,собачка
17,20.4,1,1,0,собачка
21,25.2,1,1,0,собачка
21,25.2,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
29,34.8,1,1,0,собачка
26,31.2,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
19,22.8,1,0,0,собачка
22,26.4,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
25,30.0,1,1,0,собачка
29,34.8,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
29,34.8,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
17,20.4,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
15,18.0,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
25,30.0,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
28,33.6,1,1,0,собачка
32,38.4,1,1,0,собачка
17,20.4,1,1,0,собачка
33,39.6,1,1,0,собачка
34,40.8,1,1,0,собачка
34,40.8,1,1,0,собачка
30,36.0,1,1,0,собачка
22,26.4,1,1,0,собачка
29,34.8,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
30,36.0,1,1,0,собачка
34,40.8,1,1,0,собачка
32,38.4,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
29,34.8,1,1,0,собачка
26,31.2,1,1,0,собачка
29,34.8,1,0,0,собачка
23,27.599999999999998,1,0,0,собачка
20,24.0,1,1,0,собачка
15,18.0,1,1,0,собачка
34,40.8,1,1,0,собачка
16,19.2,1,1,0,собачка
19,22.8,1,1,0,собачка
25,30.0,1,1,0,собачка
17,20.4,1,1,0,собачка
33,39.6,1,1,0,собачка
28,33.6,1,1,0,собачка
22,26.4,1,1,0,собачка
19,22.8,1,1,0,собачка
28,33.6,1,1,0,собачка
33,39.6,1,1,0,собачка
27,32.4,1,1,0,собачка
32,38.4,1,1,0,собачка
34,40.8,1,1,0,собачка
26,31.2,1,1,0,собачка
32,38.4,1,0,0,собачка
34,40.8,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
32,38.4,1,1,0,собачка
27,32.4,1,1,0,собачка
16,19.2,1,1,0,собачка
17,20.4,1,1,0,собачка
27,32.4,1,1,0,собачка
21,25.2,1,1,1,собачка
15,18.0,1,0,0,собачка
18,21.599999999999998,1,1,1,собачка
19,22.8,1,1,0,собачка
16,19.2,1,1,0,собачка
28,33.6,1,1,0,собачка
33,39.6,1,0,0,собачка
25,30.0,1,1,0,собачка
22,26.4,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
25,30.0,1,1,0,собачка
27,32.4,1,0,0,собачка
19,22.8,1,1,0,собачка
21,25.2,1,0,0,собачка
20,24.0,1,1,0,собачка
21,25.2,1,1,0,собачка
32,38.4,1,1,0,собачка
26,31.2,1,0,0,собачка
26,31.2,1,1,0,собачка
29,34.8,1,1,0,собачка
21,25.2,1,1,0,собачка
20,24.0,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
22,26.4,1,1,0,собачка
16,19.2,1,1,0,собачка
26,31.2,1,0,0,собачка
18,21.599999999999998,1,1,0,собачка
30,36.0,1,1,0,собачка
27,32.4,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
26,31.2,1,1,0,собачка
34,40.8,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
26,31.2,1,0,0,собачка
21,25.2,1,1,0,собачка
16,19.2,1,1,0,собачка
16,19.2,1,1,0,собачка
19,22.8,1,1,0,собачка
27,32.4,1,1,0,собачка
29,34.8,1,1,0,собачка
32,38.4,1,1,0,собачка
16,19.2,1,1,0,собачка
27,32.4,1,1,0,собачка
15,18.0,1,1,0,собачка
31,37.199999999999996,1,0,0,собачка
19,22.8,1,1,0,собачка
20,24.0,1,1,0,собачка
25,30.0,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
27,32.4,1,1,0,собачка
16,19.2,1,1,0,собачка
27,32.4,1,1,0,собачка
28,33.6,1,1,0,собачка
32,38.4,1,1,0,собачка
16,19.2,1,1,0,собачка
17,20.4,1,1,0,собачка
31,37.199999999999996,1,0,0,собачка
28,33.6,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
30,36.0,1,1,0,собачка
20,24.0,1,1,0,собачка
25,30.0,1,1,0,собачка
17,20.4,1,1,0,собачка
30,36.0,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
20,24.0,1,0,0,собачка
25,30.0,1,1,0,собачка
20,24.0,1,1,0,собачка
27,32.4,1,1,0,собачка
25,30.0,1,1,0,собачка
17,20.4,1,1,0,собачка
18,21.599999999999998,1,1,0,собачка
22,26.4,1,1,0,собачка
26,31.2,1,1,0,собачка
30,36.0,1,1,0,собачка
32,38.4,1,1,0,собачка
20,24.0,1,1,0,собачка
24,28.799999999999997,1,1,0,собачка
26,31.2,1,1,0,собачка
17,20.4,1,1,0,собачка
15,18.0,1,1,0,собачка
23,27.599999999999998,1,1,0,собачка
25,30.0,1,1,0,собачка
25,30.0,1,1,0,собачка
34,40.8,1,1,0,собачка
