Длина,Высота,Шерстист,Гавкает,Лазает по деревьям,Вид
31,37.199999999999996,1,1,0,собачка
20,24.0,1,1,0,собачка
25,30.0,1,1,0,собачка
31,37.199999999999996,1,1,0,собачка
30,36.0,1,1,0,собачка
27,32.4,1,1,0,собачка
30,36.0,1,1,0,собачка
16,19.2,1,1,0,собачка
34,40.8,1,0,0,собачка
34,40.8,1,1,0,собачка
20,24.0,1,1,0,собачка
19,22.8,1,1,0,собачка
26,31.2,1,1,0,собачка
14,5.6000000000000005,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
8,3.2,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
9,3.6,1,0,1,котик
8,3.2,1,0,1,котик
13,5.2,1,0,1,котик
11,4.4,0,0,0,котик
6,2.4000000000000004,1,0,1,котик
11,4.4,1,0,1,котик
5,2.0,1,0,1,котик
8,3.2,0,0,1,котик
12,4.800000000000001,1,0,1,котик
11,4.4,1,0,1,котик
12,4.800000000000001,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
8,3.2,1,0,1,котик
9,3.6,1,0,1,котик
9,3.6,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
5,2.0,1,0,1,котик
8,3.2,1,0,0,котик
11,4.4,1,0,1,котик
9,3.6,1,0,1,котик
13,5.2,1,0,1,котик
13,5.2,1,0,1,котик
8,3.2,1,0,1,котик
10,4.0,1,0,1,котик
13,5.2,1,0,1,котик
9,3.6,1,0,1,котик
13,5.2,1,0,1,котик
9,3.6,1,1,1,котик
7,2.8000000000000003,1,0,1,котик
11,4.4,1,0,1,котик
5,2.0,1,0,1,котик
5,2.0,0,0,1,котик
11,4.4,1,0,1,котик
10,4.0,0,0,1,котик
7,2.8000000000000003,1,0,1,котик
11,4.4,1,0,1,котик
8,3.2,1,0,1,котик
10,4.0,1,0,1,котик
11,4.4,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
5,2.0,1,0,1,котик
14,5.6000000000000005,0,0,1,котик
10,4.0,0,0,1,котик
7,2.8000000000000003,1,0,1,котик
12,4.800000000000001,0,0,1,котик
7,2.8000000000000003,1,0,1,котик
5,2.0,1,0,1,котик
12,4.800000000000001,1,0,1,котик
10,4.0,1,0,1,котик
9,3.6,1,0,1,котик
9,3.6,1,0,1,котик
5,2.0,1,0,1,котик
8,3.2,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
9,3.6,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
8,3.2,1,0,0,котик
5,2.0,1,0,1,котик
10,4.0,1,0,1,котик
13,5.2,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
14,5.6000000000000005,1,1,1,котик
7,2.8000000000000003,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
9,3.6,1,0,1,котик
12,4.800000000000001,1,0,1,котик
12,4.800000000000001,1,0,0,котик
13,5.2,1,0,1,котик
11,4.4,1,0,1,котик
11,4.4,1,0,1,котик
6,2.4000000000000004,0,0,1,котик
6,2.4000000000000004,1,1,1,котик
8,3.2,1,0,1,котик
10,4.0,1,0,1,котик
5,2.0,1,0,1,котик
5,2.0,1,0,1,котик
9,3.6,1,0,1,котик
13,5.2,1,0,1,котик
10,4.0,1,0,1,котик
5,2.0,1,0,1,котик
9,3.6,1,0,1,котик
9,3.6,1,0,1,котик
14,5.6000000000000005,1,1,1,котик
13,5.2,1,0,1,котик
12,4.800000000000001,1,0,1,котик
8,3.2,1,0,1,котик
8,3.2,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
5,2.0,1,0,1,котик
9,3.6,1,0,1,котик
5,2.0,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
10,4.0,1,0,1,котик
11,4.4,0,0,1,котик
11,4.4,1,0,1,котик
5,2.0,1,0,1,котик
10,4.0,1,0,1,котик
11,4.4,1,0,1,котик
10,4.0,1,0,1,котик
5,2.0,1,0,1,котик
13,5.2,1,0,1,котик
12,4.800000000000001,1,0,1,котик
9,3.6,0,0,1,котик
6,2.4000000000000004,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
12,4.800000000000001,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
12,4.800000000000001,1,0,0,котик
6,2.4000000000000004,1,0,1,котик
11,4.4,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
5,2.0,1,0,1,котик
13,5.2,1,0,1,котик
8,3.2,1,0,1,котик
5,2.0,1,0,1,котик
9,3.6,1,0,1,котик
13,5.2,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
8,3.2,1,0,1,котик
5,2.0,1,0,1,котик
13,5.2,0,0,1,котик
12,4.800000000000001,1,0,1,котик
11,4.4,1,0,1,котик
9,3.6,1,0,1,котик
11,4.4,1,0,0,котик
8,3.2,1,0,1,котик
12,4.800000000000001,1,0,1,котик
13,5.2,1,0,1,котик
8,3.2,1,0,1,котик
8,3.2,1,0,1,котик
12,4.800000000000001,1,0,1,котик
11,4.4,1,0,1,котик
10,4.0,1,0,1,котик
13,5.2,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
9,3.6,1,0,1,котик
9,3.6,1,0,1,котик
13,5.2,1,0,1,котик
8,3.2,1,1,1,котик
5,2.0,1,0,1,котик
11,4.4,1,0,1,котик
12,4.800000000000001,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
9,3.6,1,0,1,котик
10,4.0,1,0,1,котик
11,4.4,1,0,1,котик
11,4.4,1,0,1,котик
10,4.0,1,0,1,котик
12,4.800000000000001,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
9,3.6,1,0,1,котик
12,4.800000000000001,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
5,2.0,1,0,1,котик
13,5.2,1,0,1,котик
5,2.0,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
13,5.2,1,0,1,котик
5,2.0,1,0,1,котик
12,4.800000000000001,1,0,1,котик
5,2.0,1,0,0,котик
12,4.800000000000001,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
10,4.0,1,0,1,котик
12,4.800000000000001,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
10,4.0,1,0,1,котик
9,3.6,1,0,1,котик
13,5.2,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
11,4.4,1,0,1,котик
9,3.6,1,0,1,котик
5,2.0,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
5,2.0,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
5,2.0,1,0,1,котик
5,2.0,1,0,1,котик
5,2.0,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
9,3.6,1,0,1,котик
13,5.2,1,0,1,котик
13,5.2,1,0,1,котик
8,3.2,1,1,1,котик
7,2.8000000000000003,1,0,1,котик
8,3.2,1,0,1,котик
11,4.4,1,0,1,котик
10,4.0,1,0,1,котик
13,5.2,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
9,3.6,1,0,1,котик
5,2.0,1,0,0,котик
10,4.0,1,0,1,котик
9,3.6,1,0,1,котик
10,4.0,1,0,1,котик
11,4.4,1,1,1,котик
7,2.8000000000000003,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
12,4.800000000000001,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
9,3.6,1,0,1,котик
9,3.6,1,0,1,котик
14,5.6000000000000005,0,0,1,котик
5,2.0,1,0,1,котик
6,2.4000000000000004,0,0,1,котик
8,3.2,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
5,2.0,1,1,0,котик
11,4.4,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
12,4.800000000000001,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
12,4.800000000000001,1,0,1,котик
10,4.0,1,0,1,котик
12,4.800000000000001,0,0,1,котик
8,3.2,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
9,3.6,1,0,1,котик
11,4.4,0,0,1,котик
6,2.4000000000000004,1,0,1,котик
8,3.2,1,0,1,котик
11,4.4,1,0,0,котик
13,5.2,1,0,1,котик
8,3.2,1,0,1,котик
12,4.800000000000001,1,0,1,котик
10,4.0,1,0,1,котик
10,4.0,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
9,3.6,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
13,5.2,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
10,4.0,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
9,3.6,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
12,4.800000000000001,1,0,1,котик
12,4.800000000000001,1,0,1,котик
11,4.4,1,0,1,котик
9,3.6,1,1,1,котик
9,3.6,1,0,1,котик
5,2.0,1,0,1,котик
9,3.6,1,0,1,котик
5,2.0,1,0,1,котик
8,3.2,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
9,3.6,0,0,1,котик
11,4.4,1,0,1,котик
5,2.0,1,0,1,котик
5,2.0,1,0,1,котик
11,4.4,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
11,4.4,1,0,1,котик
6,2.4000000000000004,1,0,0,котик
13,5.2,1,0,1,котик
14,5.6000000000000005,0,0,1,котик
12,4.800000000000001,1,0,1,котик
9,3.6,1,0,1,котик
10,4.0,1,0,1,котик
11,4.4,1,0,1,котик
9,3.6,1,0,1,котик
10,4.0,1,0,1,котик
14,5.6000000000000005,1,1,1,котик
5,2.0,1,0,1,котик
11,4.4,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
8,3.2,1,0,1,котик
13,5.2,1,0,1,котик
12,4.800000000000001,1,0,1,котик
10,4.0,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
10,4.0,1,0,1,котик
5,2.0,1,0,1,котик
11,4.4,1,0,1,котик
8,3.2,1,0,1,котик
12,4.800000000000001,1,0,1,котик
8,3.2,1,1,1,котик
7,2.8000000000000003,1,0,1,котик
10,4.0,1,0,1,котик
12,4.800000000000001,1,0,1,котик
11,4.4,1,0,1,котик
5,2.0,1,0,1,котик
11,4.4,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
9,3.6,1,0,1,котик
7,2.8000000000000003,0,0,1,котик
7,2.8000000000000003,1,0,1,котик
13,5.2,1,0,1,котик
13,5.2,0,0,1,котик
13,5.2,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
10,4.0,1,0,1,котик
5,2.0,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
10,4.0,1,0,1,котик
8,3.2,1,0,1,котик
13,5.2,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
8,3.2,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
12,4.800000000000001,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
5,2.0,1,0,1,котик
8,3.2,1,0,1,котик
11,4.4,1,0,1,котик
13,5.2,1,0,1,котик
9,3.6,1,0,1,котик
8,3.2,1,0,1,котик
8,3.2,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
9,3.6,1,0,1,котик
8,3.2,1,0,1,котик
10,4.0,1,0,0,котик
8,3.2,1,0,1,котик
9,3.6,1,0,1,котик
6,2.4000000000000004,1,1,1,котик
10,4.0,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
5,2.0,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
5,2.0,1,0,1,котик
12,4.800000000000001,1,0,1,котик
11,4.4,1,0,0,котик
9,3.6,1,0,1,котик
11,4.4,1,0,1,котик
11,4.4,1,0,1,котик
9,3.6,1,0,1,котик
13,5.2,1,0,1,котик
6,2.4000000000000004,1,1,1,котик
10,4.0,1,0,1,котик
12,4.800000000000001,1,0,1,котик
5,2.0,1,0,1,котик
5,2.0,1,0,1,котик
10,4.0,1,0,1,котик
5,2.0,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
5,2.0,0,0,1,котик
12,4.800000000000001,1,0,1,котик
5,2.0,0,0,1,котик
11,4.4,1,0,1,котик
9,3.6,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
13,5.2,1,0,0,котик
5,2.0,1,0,1,котик
13,5.2,1,0,1,котик
9,3.6,1,0,1,котик
11,4.4,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
9,3.6,1,0,1,котик
8,3.2,1,0,1,котик
12,4.800000000000001,1,0,1,котик
10,4.0,1,0,1,котик
8,3.2,1,0,1,котик
8,3.2,1,0,1,котик
9,3.6,1,0,1,котик
10,4.0,1,0,1,котик
9,3.6,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
13,5.2,0,0,1,котик
6,2.4000000000000004,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
10,4.0,1,0,1,котик
11,4.4,1,0,1,котик
12,4.800000000000001,1,0,1,котик
5,2.0,0,0,1,котик
11,4.4,1,0,1,котик
12,4.800000000000001,1,1,1,котик
9,3.6,1,0,1,котик
5,2.0,1,0,1,котик
11,4.4,0,0,1,котик
8,3.2,1,0,1,котик
7,2.8000000000000003,1,1,1,котик
5,2.0,1,0,1,котик
12,4.800000000000001,1,0,1,котик
8,3.2,1,0,1,котик
13,5.2,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
11,4.4,1,0,1,котик
9,3.6,1,0,1,котик
12,4.800000000000001,1,0,1,котик
12,4.800000000000001,1,0,1,котик
6,2.4000000000000004,0,0,1,котик
6,2.4000000000000004,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
10,4.0,1,0,1,котик
10,4.0,1,0,1,котик
5,2.0,1,0,1,котик
9,3.6,1,0,1,котик
12,4.800000000000001,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
5,2.0,1,0,1,котик
8,3.2,0,0,1,котик
13,5.2,1,0,1,котик
9,3.6,1,0,1,котик
11,4.4,1,0,1,котик
9,3.6,1,0,1,котик
8,3.2,1,0,1,котик
8,3.2,1,0,1,котик
9,3.6,1,0,0,котик
8,3.2,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
8,3.2,1,0,1,котик
11,4.4,1,0,0,котик
5,2.0,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
9,3.6,0,0,1,котик
8,3.2,1,0,1,котик
12,4.800000000000001,1,0,1,котик
13,5.2,1,0,1,котик
14,5.6000000000000005,0,0,1,котик
14,5.6000000000000005,1,0,1,котик
11,4.4,1,0,0,котик
8,3.2,1,0,1,котик
8,3.2,1,0,1,котик
10,4.0,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
10,4.0,1,0,1,котик
9,3.6,1,0,0,котик
7,2.8000000000000003,1,0,1,котик
12,4.800000000000001,1,0,1,котик
12,4.800000000000001,1,0,1,котик
11,4.4,1,0,0,котик
8,3.2,1,0,1,котик
5,2.0,1,0,1,котик
6,2.4000000000000004,0,0,1,котик
12,4.800000000000001,1,0,1,котик
9,3.6,1,0,1,котик
5,2.0,1,0,1,котик
8,3.2,1,0,1,котик
10,4.0,1,0,1,котик
5,2.0,1,0,1,котик
12,4.800000000000001,1,0,1,котик
6,2.4000000000000004,1,0,0,котик
7,2.8000000000000003,1,0,1,котик
13,5.2,1,0,1,котик
6,2.4000000000000004,0,0,1,котик
9,3.6,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
11,4.4,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
10,4.0,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
8,3.2,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
5,2.0,1,0,1,котик
13,5.2,1,0,1,котик
8,3.2,1,0,1,котик
10,4.0,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
5,2.0,1,0,1,котик
13,5.2,1,0,1,котик
11,4.4,1,0,1,котик
9,3.6,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
8,3.2,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
11,4.4,1,0,1,котик
14,5.6000000000000005,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
11,4.4,1,0,1,котик
7,2.8000000000000003,0,0,1,котик
11,4.4,1,0,1,котик
13,5.2,1,0,1,котик
8,3.2,1,0,1,котик
9,3.6,1,0,1,котик
9,3.6,1,0,1,котик
9,3.6,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
9,3.6,1,1,1,котик
11,4.4,1,0,1,котик
8,3.2,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
6,2.4000000000000004,1,0,1,котик
7,2.8000000000000003,1,0,1,котик
11,4.4,1,0,1,котик
