,attack_type,id,legs,localized_name,name,primary_attr,roles
0,Melee,1,2,Anti-Mage,npc_dota_hero_antimage,agi,"['Carry', 'Escape', 'Nuker']"
1,Melee,2,2,Axe,npc_dota_hero_axe,str,"['Initiator', 'Durable', 'Disabler', 'Jungler']"
2,Ranged,3,4,Bane,npc_dota_hero_bane,int,"['Support', 'Disabler', 'Nuker', 'Durable']"
3,Melee,4,2,Bloodseeker,npc_dota_hero_bloodseeker,agi,"['Carry', 'Disabler', 'Jungler', 'Nuker', 'Initiator']"
4,Ranged,5,2,Crystal Maiden,npc_dota_hero_crystal_maiden,int,"['Support', 'Disabler', 'Nuker', 'Jungler']"
5,Ranged,6,2,Drow Ranger,npc_dota_hero_drow_ranger,agi,"['Carry', 'Disabler', 'Pusher']"
6,Melee,7,2,Earthshaker,npc_dota_hero_earthshaker,str,"['Support', 'Initiator', 'Disabler', 'Nuker']"
7,Melee,8,2,Juggernaut,npc_dota_hero_juggernaut,agi,"['Carry', 'Pusher', 'Escape']"
8,Ranged,9,2,Mirana,npc_dota_hero_mirana,agi,"['Carry', 'Support', 'Escape', 'Nuker', 'Disabler']"
9,Ranged,10,0,Morphling,npc_dota_hero_morphling,agi,"['Carry', 'Escape', 'Durable', 'Nuker', 'Disabler']"
10,Ranged,11,0,Shadow Fiend,npc_dota_hero_nevermore,agi,"['Carry', 'Nuker']"
11,Melee,12,2,Phantom Lancer,npc_dota_hero_phantom_lancer,agi,"['Carry', 'Escape', 'Pusher', 'Nuker']"
12,Ranged,13,2,Puck,npc_dota_hero_puck,int,"['Initiator', 'Disabler', 'Escape', 'Nuker']"
13,Melee,14,2,Pudge,npc_dota_hero_pudge,str,"['Disabler', 'Initiator', 'Durable', 'Nuker']"
14,Ranged,15,0,Razor,npc_dota_hero_razor,agi,"['Carry', 'Durable', 'Nuker', 'Pusher']"
15,Melee,16,6,Sand King,npc_dota_hero_sand_king,str,"['Initiator', 'Disabler', 'Support', 'Nuker', 'Escape', 'Jungler']"
16,Ranged,17,2,Storm Spirit,npc_dota_hero_storm_spirit,int,"['Carry', 'Escape', 'Nuker', 'Initiator', 'Disabler']"
17,Melee,18,2,Sven,npc_dota_hero_sven,str,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']"
18,Melee,19,2,Tiny,npc_dota_hero_tiny,str,"['Carry', 'Nuker', 'Pusher', 'Initiator', 'Durable', 'Disabler']"
19,Ranged,20,2,Vengeful Spirit,npc_dota_hero_vengefulspirit,agi,"['Support', 'Initiator', 'Disabler', 'Nuker', 'Escape']"
20,Ranged,21,2,Windranger,npc_dota_hero_windrunner,int,"['Carry', 'Support', 'Disabler', 'Escape', 'Nuker']"
21,Ranged,22,2,Zeus,npc_dota_hero_zuus,int,['Nuker']
22,Melee,23,2,Kunkka,npc_dota_hero_kunkka,str,"['Carry', 'Support', 'Disabler', 'Initiator', 'Durable', 'Nuker']"
23,Ranged,25,2,Lina,npc_dota_hero_lina,int,"['Support', 'Carry', 'Nuker', 'Disabler']"
24,Ranged,26,2,Lion,npc_dota_hero_lion,int,"['Support', 'Disabler', 'Nuker', 'Initiator']"
25,Ranged,27,2,Shadow Shaman,npc_dota_hero_shadow_shaman,int,"['Support', 'Pusher', 'Disabler', 'Nuker', 'Initiator']"
26,Melee,28,0,Slardar,npc_dota_hero_slardar,str,"['Carry', 'Durable', 'Initiator', 'Disabler', 'Escape']"
27,Melee,29,2,Tidehunter,npc_dota_hero_tidehunter,str,"['Initiator', 'Durable', 'Disabler', 'Nuker']"
28,Ranged,30,2,Witch Doctor,npc_dota_hero_witch_doctor,int,"['Support', 'Nuker', 'Disabler']"
29,Ranged,31,2,Lich,npc_dota_hero_lich,int,"['Support', 'Nuker']"
30,Melee,32,2,Riki,npc_dota_hero_riki,agi,"['Carry', 'Escape', 'Disabler']"
31,Ranged,33,0,Enigma,npc_dota_hero_enigma,int,"['Disabler', 'Jungler', 'Initiator', 'Pusher']"
32,Ranged,34,2,Tinker,npc_dota_hero_tinker,int,"['Carry', 'Nuker', 'Pusher']"
33,Ranged,35,2,Sniper,npc_dota_hero_sniper,agi,"['Carry', 'Nuker']"
34,Ranged,36,2,Necrophos,npc_dota_hero_necrolyte,int,"['Carry', 'Nuker', 'Durable', 'Disabler']"
35,Ranged,37,2,Warlock,npc_dota_hero_warlock,int,"['Support', 'Initiator', 'Disabler']"
36,Melee,38,2,Beastmaster,npc_dota_hero_beastmaster,str,"['Initiator', 'Disabler', 'Durable', 'Nuker']"
37,Ranged,39,2,Queen of Pain,npc_dota_hero_queenofpain,int,"['Carry', 'Nuker', 'Escape']"
38,Ranged,40,0,Venomancer,npc_dota_hero_venomancer,agi,"['Support', 'Nuker', 'Initiator', 'Pusher', 'Disabler']"
39,Melee,41,2,Faceless Void,npc_dota_hero_faceless_void,agi,"['Carry', 'Initiator', 'Disabler', 'Escape', 'Durable']"
40,Melee,42,2,Wraith King,npc_dota_hero_skeleton_king,str,"['Carry', 'Support', 'Durable', 'Disabler', 'Initiator']"
41,Ranged,43,2,Death Prophet,npc_dota_hero_death_prophet,int,"['Carry', 'Pusher', 'Nuker', 'Disabler']"
42,Melee,44,2,Phantom Assassin,npc_dota_hero_phantom_assassin,agi,"['Carry', 'Escape']"
43,Ranged,45,2,Pugna,npc_dota_hero_pugna,int,"['Nuker', 'Pusher']"
44,Ranged,46,2,Templar Assassin,npc_dota_hero_templar_assassin,agi,"['Carry', 'Escape']"
45,Ranged,47,0,Viper,npc_dota_hero_viper,agi,"['Carry', 'Durable', 'Initiator', 'Disabler']"
46,Ranged,48,2,Luna,npc_dota_hero_luna,agi,"['Carry', 'Nuker', 'Pusher']"
47,Melee,49,2,Dragon Knight,npc_dota_hero_dragon_knight,str,"['Carry', 'Pusher', 'Durable', 'Disabler', 'Initiator', 'Nuker']"
48,Ranged,50,2,Dazzle,npc_dota_hero_dazzle,int,"['Support', 'Nuker', 'Disabler']"
49,Melee,51,2,Clockwerk,npc_dota_hero_rattletrap,str,"['Initiator', 'Disabler', 'Durable', 'Nuker']"
50,Ranged,52,4,Leshrac,npc_dota_hero_leshrac,int,"['Carry', 'Support', 'Nuker', 'Pusher', 'Disabler']"
51,Ranged,53,2,Nature's Prophet,npc_dota_hero_furion,int,"['Carry', 'Jungler', 'Pusher', 'Escape', 'Nuker']"
52,Melee,54,2,Lifestealer,npc_dota_hero_life_stealer,str,"['Carry', 'Durable', 'Jungler', 'Escape', 'Disabler']"
53,Melee,55,2,Dark Seer,npc_dota_hero_dark_seer,int,"['Initiator', 'Jungler', 'Escape', 'Disabler']"
54,Ranged,56,2,Clinkz,npc_dota_hero_clinkz,agi,"['Carry', 'Escape', 'Pusher']"
55,Melee,57,2,Omniknight,npc_dota_hero_omniknight,str,"['Support', 'Durable', 'Nuker']"
56,Ranged,58,4,Enchantress,npc_dota_hero_enchantress,int,"['Support', 'Jungler', 'Pusher', 'Durable', 'Disabler']"
57,Ranged,59,2,Huskar,npc_dota_hero_huskar,str,"['Carry', 'Durable', 'Initiator']"
58,Melee,60,2,Night Stalker,npc_dota_hero_night_stalker,str,"['Carry', 'Initiator', 'Durable', 'Disabler', 'Nuker']"
59,Melee,61,8,Broodmother,npc_dota_hero_broodmother,agi,"['Carry', 'Pusher', 'Escape', 'Nuker']"
60,Melee,62,2,Bounty Hunter,npc_dota_hero_bounty_hunter,agi,"['Escape', 'Nuker']"
61,Ranged,63,4,Weaver,npc_dota_hero_weaver,agi,"['Carry', 'Escape']"
62,Ranged,64,2,Jakiro,npc_dota_hero_jakiro,int,"['Support', 'Nuker', 'Pusher', 'Disabler']"
63,Ranged,65,2,Batrider,npc_dota_hero_batrider,int,"['Initiator', 'Jungler', 'Disabler', 'Escape']"
64,Ranged,66,2,Chen,npc_dota_hero_chen,int,"['Support', 'Jungler', 'Pusher']"
65,Melee,67,0,Spectre,npc_dota_hero_spectre,agi,"['Carry', 'Durable', 'Escape']"
66,Ranged,68,2,Ancient Apparition,npc_dota_hero_ancient_apparition,int,"['Support', 'Disabler', 'Nuker']"
67,Melee,69,2,Doom,npc_dota_hero_doom_bringer,str,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']"
68,Melee,70,2,Ursa,npc_dota_hero_ursa,agi,"['Carry', 'Jungler', 'Durable', 'Disabler']"
69,Melee,71,2,Spirit Breaker,npc_dota_hero_spirit_breaker,str,"['Carry', 'Initiator', 'Disabler', 'Durable', 'Escape']"
70,Ranged,72,2,Gyrocopter,npc_dota_hero_gyrocopter,agi,"['Carry', 'Nuker', 'Disabler']"
71,Melee,73,2,Alchemist,npc_dota_hero_alchemist,str,"['Carry', 'Support', 'Durable', 'Disabler', 'Initiator', 'Nuker']"
72,Ranged,74,2,Invoker,npc_dota_hero_invoker,int,"['Carry', 'Nuker', 'Disabler', 'Escape', 'Pusher']"
73,Ranged,75,2,Silencer,npc_dota_hero_silencer,int,"['Carry', 'Support', 'Disabler', 'Initiator', 'Nuker']"
74,Ranged,76,4,Outworld Devourer,npc_dota_hero_obsidian_destroyer,int,"['Carry', 'Nuker', 'Disabler']"
75,Melee,77,2,Lycan,npc_dota_hero_lycan,str,"['Carry', 'Pusher', 'Jungler', 'Durable', 'Escape']"
76,Melee,78,2,Brewmaster,npc_dota_hero_brewmaster,str,"['Carry', 'Initiator', 'Durable', 'Disabler', 'Nuker']"
77,Ranged,79,2,Shadow Demon,npc_dota_hero_shadow_demon,int,"['Support', 'Disabler', 'Initiator', 'Nuker']"
78,Ranged,80,2,Lone Druid,npc_dota_hero_lone_druid,agi,"['Carry', 'Pusher', 'Jungler', 'Durable']"
79,Melee,81,2,Chaos Knight,npc_dota_hero_chaos_knight,str,"['Carry', 'Disabler', 'Durable', 'Pusher', 'Initiator']"
80,Melee,82,2,Meepo,npc_dota_hero_meepo,agi,"['Carry', 'Escape', 'Nuker', 'Disabler', 'Initiator', 'Pusher']"
81,Melee,83,2,Treant Protector,npc_dota_hero_treant,str,"['Support', 'Initiator', 'Durable', 'Disabler', 'Escape']"
82,Melee,84,2,Ogre Magi,npc_dota_hero_ogre_magi,int,"['Support', 'Nuker', 'Disabler', 'Durable', 'Initiator']"
83,Melee,85,2,Undying,npc_dota_hero_undying,str,"['Support', 'Durable', 'Disabler', 'Nuker']"
84,Ranged,86,2,Rubick,npc_dota_hero_rubick,int,"['Support', 'Disabler', 'Nuker']"
85,Ranged,87,2,Disruptor,npc_dota_hero_disruptor,int,"['Support', 'Disabler', 'Nuker', 'Initiator']"
86,Melee,88,6,Nyx Assassin,npc_dota_hero_nyx_assassin,agi,"['Disabler', 'Nuker', 'Initiator', 'Escape']"
87,Melee,89,0,Naga Siren,npc_dota_hero_naga_siren,agi,"['Carry', 'Support', 'Pusher', 'Disabler', 'Initiator', 'Escape']"
88,Ranged,90,2,Keeper of the Light,npc_dota_hero_keeper_of_the_light,int,"['Support', 'Nuker', 'Disabler', 'Jungler']"
89,Ranged,91,0,Io,npc_dota_hero_wisp,str,"['Support', 'Escape', 'Nuker']"
90,Ranged,92,2,Visage,npc_dota_hero_visage,int,"['Support', 'Nuker', 'Durable', 'Disabler', 'Pusher']"
91,Melee,93,2,Slark,npc_dota_hero_slark,agi,"['Carry', 'Escape', 'Disabler', 'Nuker']"
92,Ranged,94,0,Medusa,npc_dota_hero_medusa,agi,"['Carry', 'Disabler', 'Durable']"
93,Ranged,95,2,Troll Warlord,npc_dota_hero_troll_warlord,agi,"['Carry', 'Pusher', 'Disabler', 'Durable']"
94,Melee,96,4,Centaur Warrunner,npc_dota_hero_centaur,str,"['Durable', 'Initiator', 'Disabler', 'Nuker', 'Escape']"
95,Melee,97,4,Magnus,npc_dota_hero_magnataur,str,"['Initiator', 'Disabler', 'Nuker', 'Escape']"
96,Melee,98,2,Timbersaw,npc_dota_hero_shredder,str,"['Nuker', 'Durable', 'Escape']"
97,Melee,99,2,Bristleback,npc_dota_hero_bristleback,str,"['Carry', 'Durable', 'Initiator', 'Nuker']"
98,Melee,100,2,Tusk,npc_dota_hero_tusk,str,"['Initiator', 'Disabler', 'Nuker']"
99,Ranged,101,2,Skywrath Mage,npc_dota_hero_skywrath_mage,int,"['Support', 'Nuker', 'Disabler']"
100,Melee,102,2,Abaddon,npc_dota_hero_abaddon,str,"['Support', 'Carry', 'Durable']"
101,Melee,103,2,Elder Titan,npc_dota_hero_elder_titan,str,"['Initiator', 'Disabler', 'Nuker', 'Durable']"
102,Melee,104,2,Legion Commander,npc_dota_hero_legion_commander,str,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']"
103,Ranged,105,6,Techies,npc_dota_hero_techies,int,"['Nuker', 'Disabler']"
104,Melee,106,2,Ember Spirit,npc_dota_hero_ember_spirit,agi,"['Carry', 'Escape', 'Nuker', 'Disabler', 'Initiator']"
105,Melee,107,2,Earth Spirit,npc_dota_hero_earth_spirit,str,"['Nuker', 'Escape', 'Disabler', 'Initiator', 'Durable']"
106,Melee,108,2,Underlord,npc_dota_hero_abyssal_underlord,str,"['Support', 'Nuker', 'Disabler', 'Durable', 'Escape']"
107,Melee,109,2,Terrorblade,npc_dota_hero_terrorblade,agi,"['Carry', 'Pusher', 'Nuker']"
108,Ranged,110,2,Phoenix,npc_dota_hero_phoenix,str,"['Support', 'Nuker', 'Initiator', 'Escape', 'Disabler']"
109,Ranged,111,2,Oracle,npc_dota_hero_oracle,int,"['Support', 'Nuker', 'Disabler', 'Escape']"
110,Ranged,112,2,Winter Wyvern,npc_dota_hero_winter_wyvern,int,"['Support', 'Disabler', 'Nuker']"
111,Ranged,113,2,Arc Warden,npc_dota_hero_arc_warden,agi,"['Carry', 'Escape', 'Nuker']"
112,Melee,114,2,Monkey King,npc_dota_hero_monkey_king,agi,"['Carry', 'Escape', 'Disabler', 'Initiator']"
113,Ranged,119,2,Dark Willow,npc_dota_hero_dark_willow,int,"['Support', 'Nuker', 'Disabler', 'Escape']"
114,Melee,120,2,Pangolier,npc_dota_hero_pangolier,agi,"['Carry', 'Nuker', 'Disabler', 'Durable', 'Escape', 'Initiator']"
115,Ranged,121,2,Grimstroke,npc_dota_hero_grimstroke,int,"['Support', 'Nuker', 'Disabler', 'Escape']"
116,Melee,129,2,Mars,npc_dota_hero_mars,str,"['Carry', 'Initiator', 'Disabler', 'Durable']"
