V1,V2,V3,V4
2,13.0,B,1.0
-1,7.0,B,1.0
0,11.0,A,0.0
2,11.0,A,2.0
0,10.0,B,-1.0
2,11.0,A,0.0
0,9.0,A,2.0
1,9.0,A,1.0
0,9.0,B,2.0
-1,10.0,A,0.0
1,10.0,A,1.0
-2,10.0,A,1.0
0,8.0,B,0.0
1,12.0,A,3.0
-1,10.0,A,2.0
2,10.0,B,1.0
0,9.0,B,1.0
0,11.0,A,0.0
0,8.0,A,1.0
0,10.0,A,1.0
1,10.0,B,2.0
3,10.0,A,2.0
-2,12.0,A,3.0
-1,11.0,B,3.0
2,8.0,B,-0.0
2,10.0,A,3.0
2,12.0,A,1.0
2,9.0,A,1.0
-2,10.0,B,0.0
0,8.0,A,1.0
0,11.0,B,2.0
-3,11.0,B,-1.0
-3,10.0,B,2.0
0,12.0,B,1.0
0,10.0,B,1.0
-3,11.0,A,2.0
2,8.0,A,1.0
2,9.0,B,1.0
-2,10.0,A,1.0
1,9.0,A,1.0
0,11.0,A,1.0
1,12.0,A,0.0
3,11.0,B,1.0
2,10.0,B,1.0
1,10.0,A,1.0
0,11.0,A,3.0
0,11.0,A,1.0
-2,10.0,A,1.0
2,10.0,B,1.0
5,10.0,B,-0.0
3,10.0,B,1.0
-2,9.0,B,2.0
-1,9.0,B,1.0
-2,10.0,B,1.0
1,10.0,A,3.0
0,9.0,A,1.0
0,10.0,B,-0.0
0,8.0,B,1.0
-1,10.0,B,-0.0
-1,11.0,A,-1.0
0,10.0,A,1.0
-1,10.0,B,1.0
1,10.0,A,0.0
1,10.0,B,-0.0
0,9.0,A,1.0
0,11.0,B,2.0
1,10.0,B,0.0
-1,10.0,B,-0.0
0,10.0,A,1.0
0,9.0,B,2.0
-2,10.0,B,1.0
0,11.0,B,1.0
-1,10.0,A,2.0
-1,10.0,A,2.0
3,10.0,B,2.0
-2,10.0,A,0.0
2,9.0,A,3.0
0,11.0,A,1.0
0,9.0,A,2.0
0,10.0,B,2.0
0,10.0,A,1.0
1,10.0,A,1.0
0,10.0,B,1.0
-1,8.0,B,1.0
1,12.0,B,1.0
-1,10.0,B,2.0
0,12.0,B,-1.0
3,11.0,B,2.0
0,11.0,B,1.0
-1,10.0,A,2.0
-1,9.0,B,2.0
0,11.0,A,2.0
1,10.0,A,1.0
6,10.0,A,1.0
2,12.0,A,2.0
2,12.0,A,1.0
-2,11.0,A,0.0
1,9.0,B,-0.0
0,11.0,B,1.0
0,10.0,A,1.0
1,10.0,B,2.0
-1,9.0,A,2.0
0,8.0,A,2.0
0,11.0,B,-0.0
-4,10.0,B,-1.0
-1,10.0,B,3.0
2,12.0,B,-2.0
2,11.0,A,2.0
0,10.0,B,1.0
2,10.0,A,1.0
0,9.0,A,2.0
3,11.0,A,0.0
0,8.0,B,2.0
0,11.0,A,0.0
1,10.0,B,0.0
4,10.0,B,1.0
0,9.0,B,2.0
0,9.0,A,2.0
0,12.0,B,1.0
-2,9.0,B,-1.0
0,9.0,B,2.0
4,13.0,B,0.0
-1,10.0,A,-1.0
-1,11.0,B,3.0
0,11.0,B,0.0
1,11.0,A,2.0
-1,13.0,B,-0.0
0,11.0,B,0.0
5,8.0,B,2.0
0,10.0,B,0.0
2,10.0,B,1.0
0,10.0,B,-1.0
0,11.0,A,1.0
0,11.0,A,2.0
1,10.0,A,1.0
0,10.0,B,0.0
3,9.0,A,0.0
0,11.0,A,1.0
0,9.0,A,1.0
0,10.0,B,2.0
-1,10.0,A,2.0
-1,11.0,A,-0.0
-1,9.0,B,2.0
-4,10.0,B,2.0
0,9.0,B,3.0
0,10.0,B,0.0
1,13.0,B,3.0
-1,12.0,A,1.0
3,9.0,B,0.0
0,8.0,B,3.0
-1,9.0,B,1.0
4,8.0,A,1.0
-2,11.0,B,0.0
0,10.0,A,1.0
0,10.0,A,2.0
0,10.0,A,2.0
-2,10.0,A,1.0
-1,10.0,A,0.0
-1,9.0,B,1.0
0,11.0,B,1.0
-1,11.0,B,1.0
1,10.0,A,2.0
0,8.0,B,-1.0
0,9.0,A,-0.0
1,10.0,B,1.0
-4,12.0,B,-1.0
-3,9.0,B,1.0
-2,10.0,B,2.0
-1,12.0,A,2.0
-2,10.0,B,0.0
1,10.0,B,1.0
2,11.0,A,1.0
2,9.0,B,1.0
1,10.0,A,0.0
-2,9.0,A,1.0
-2,9.0,B,-0.0
-2,10.0,A,1.0
0,9.0,B,0.0
0,11.0,A,2.0
1,10.0,A,2.0
0,10.0,A,1.0
0,8.0,B,0.0
2,9.0,B,1.0
0,10.0,B,1.0
0,10.0,B,-0.0
3,10.0,B,1.0
2,9.0,A,2.0
0,10.0,A,1.0
0,11.0,A,2.0
3,10.0,B,3.0
0,10.0,A,1.0
3,9.0,B,2.0
0,11.0,B,1.0
-2,10.0,A,1.0
-1,10.0,A,0.0
0,9.0,B,2.0
1,8.0,A,0.0
-1,10.0,B,2.0
3,9.0,B,2.0
-1,11.0,B,1.0
0,9.0,B,2.0
1,9.0,A,2.0
0,10.0,A,3.0
0,11.0,B,0.0
0,11.0,B,-0.0
0,10.0,B,2.0
1,10.0,A,-0.0
0,11.0,B,1.0
-1,11.0,A,1.0
1,10.0,A,0.0
3,8.0,A,3.0
1,9.0,A,3.0
1,9.0,A,1.0
0,10.0,B,1.0
0,12.0,A,0.0
-1,10.0,B,1.0
-4,9.0,B,1.0
1,10.0,B,1.0
-3,11.0,A,2.0
-1,10.0,B,3.0
0,10.0,A,-1.0
1,10.0,B,2.0
0,10.0,A,1.0
0,12.0,A,0.0
-2,10.0,B,1.0
-2,10.0,A,-0.0
-1,11.0,A,1.0
-2,9.0,B,2.0
1,10.0,B,0.0
2,9.0,A,-0.0
0,10.0,A,1.0
0,11.0,A,3.0
-2,9.0,A,1.0
0,9.0,A,2.0
1,9.0,A,1.0
0,9.0,A,1.0
-3,9.0,B,3.0
0,11.0,A,1.0
0,10.0,B,1.0
0,11.0,A,2.0
-1,10.0,A,0.0
0,10.0,A,1.0
1,11.0,B,0.0
-2,7.0,A,1.0
0,11.0,A,-1.0
0,12.0,B,-1.0
4,9.0,A,1.0
2,10.0,B,3.0
0,10.0,B,-1.0
-2,13.0,B,0.0
0,9.0,B,-0.0
0,10.0,B,0.0
0,10.0,B,2.0
-1,8.0,A,2.0
-3,9.0,A,1.0
-5,11.0,A,1.0
-2,11.0,B,1.0
0,11.0,B,1.0
0,9.0,A,1.0
1,9.0,A,2.0
-3,11.0,B,1.0
-2,11.0,B,1.0
0,9.0,B,2.0
1,11.0,A,1.0
-1,11.0,B,1.0
-2,12.0,A,2.0
0,9.0,A,2.0
-1,10.0,A,3.0
0,9.0,A,0.0
-1,8.0,B,-0.0
1,11.0,A,1.0
0,9.0,B,1.0
1,9.0,B,1.0
0,9.0,B,0.0
2,9.0,B,1.0
0,10.0,B,1.0
0,9.0,A,0.0
1,11.0,B,-0.0
0,10.0,B,2.0
0,10.0,A,2.0
-2,10.0,A,0.0
-1,11.0,B,1.0
1,9.0,A,2.0
1,9.0,A,2.0
1,12.0,B,1.0
-1,9.0,B,1.0
0,12.0,A,0.0
0,10.0,A,2.0
1,11.0,A,1.0
2,10.0,A,0.0
3,10.0,A,1.0
-1,10.0,A,2.0
2,9.0,B,-0.0
-3,11.0,A,1.0
-1,11.0,A,2.0
0,9.0,B,-0.0
-1,11.0,B,-0.0
-1,10.0,B,2.0
1,10.0,A,1.0
0,11.0,A,2.0
-1,10.0,B,2.0
-1,10.0,B,2.0
1,10.0,A,4.0
1,10.0,B,0.0
0,10.0,B,-1.0
5,10.0,A,3.0
1,11.0,A,-0.0
0,11.0,B,0.0
1,10.0,A,2.0
0,10.0,B,2.0
1,11.0,A,2.0
-2,9.0,A,3.0
-1,9.0,B,-1.0
2,10.0,B,1.0
0,10.0,A,-1.0
3,11.0,A,1.0
2,9.0,A,0.0
0,10.0,B,1.0
0,10.0,B,2.0
1,10.0,B,1.0
1,10.0,B,2.0
0,10.0,A,2.0
1,9.0,B,2.0
-2,12.0,B,-0.0
0,11.0,A,2.0
1,12.0,B,0.0
3,11.0,A,2.0
-2,12.0,A,1.0
1,11.0,A,2.0
-1,9.0,A,0.0
2,10.0,B,-0.0
1,8.0,B,1.0
0,10.0,A,0.0
0,10.0,B,2.0
1,9.0,B,-0.0
-1,10.0,B,-0.0
-3,11.0,A,1.0
0,8.0,B,1.0
0,11.0,A,0.0
0,10.0,A,0.0
-1,10.0,B,2.0
-2,9.0,B,2.0
0,11.0,A,1.0
0,11.0,A,1.0
-1,9.0,B,1.0
-2,9.0,B,0.0
-3,10.0,B,1.0
3,9.0,B,2.0
0,10.0,A,3.0
1,11.0,A,2.0
-2,9.0,B,-0.0
0,11.0,A,2.0
0,10.0,B,2.0
3,11.0,A,1.0
1,11.0,B,3.0
0,10.0,A,1.0
2,8.0,A,2.0
0,10.0,A,1.0
-6,10.0,A,3.0
0,10.0,A,1.0
0,11.0,A,1.0
0,9.0,B,1.0
0,9.0,A,0.0
0,9.0,B,0.0
-1,10.0,A,1.0
0,10.0,B,4.0
0,10.0,A,0.0
0,9.0,B,-1.0
0,9.0,A,1.0
0,10.0,A,2.0
2,11.0,B,1.0
2,10.0,B,1.0
-2,11.0,B,2.0
0,9.0,B,1.0
-2,10.0,B,-0.0
-2,10.0,A,1.0
-2,11.0,A,1.0
0,11.0,B,2.0
5,9.0,A,2.0
0,8.0,B,2.0
0,10.0,A,2.0
0,11.0,B,1.0
1,9.0,A,1.0
0,9.0,B,1.0
0,8.0,B,2.0
0,10.0,A,1.0
0,10.0,A,2.0
0,10.0,B,2.0
1,8.0,A,1.0
1,9.0,B,-0.0
3,10.0,B,2.0
0,11.0,B,-1.0
2,11.0,A,1.0
1,10.0,B,-0.0
2,9.0,B,2.0
0,10.0,B,1.0
1,12.0,A,1.0
2,10.0,A,0.0
-1,12.0,A,-0.0
0,12.0,B,1.0
2,10.0,A,2.0
0,10.0,A,1.0
1,9.0,B,3.0
0,11.0,B,-0.0
0,11.0,B,0.0
-3,13.0,A,1.0
0,9.0,B,2.0
1,9.0,A,-0.0
0,10.0,A,2.0
0,9.0,A,1.0
-2,10.0,A,2.0
-2,12.0,A,2.0
0,10.0,B,-0.0
-1,11.0,B,1.0
2,10.0,B,1.0
-2,9.0,B,2.0
0,5.0,B,2.0
0,10.0,B,1.0
1,9.0,A,2.0
0,10.0,A,-0.0
3,11.0,A,2.0
0,9.0,B,1.0
-3,11.0,A,0.0
-2,12.0,B,2.0
0,12.0,B,1.0
4,10.0,B,1.0
-1,13.0,B,2.0
0,10.0,B,0.0
2,12.0,B,1.0
2,9.0,A,-0.0
1,10.0,B,1.0
-2,10.0,A,1.0
-3,10.0,B,2.0
-2,9.0,B,2.0
0,10.0,A,2.0
1,9.0,A,2.0
0,11.0,A,2.0
3,10.0,B,1.0
-1,10.0,B,1.0
-1,8.0,A,-0.0
0,10.0,A,1.0
0,12.0,B,1.0
0,10.0,A,1.0
1,11.0,B,3.0
-1,10.0,A,1.0
0,10.0,A,-0.0
1,9.0,A,2.0
1,11.0,B,0.0
0,12.0,B,0.0
2,12.0,A,1.0
0,10.0,A,2.0
1,10.0,B,2.0
0,10.0,A,2.0
-3,9.0,A,0.0
2,11.0,A,2.0
7,9.0,A,1.0
0,11.0,B,2.0
3,10.0,A,1.0
1,11.0,B,0.0
1,11.0,A,0.0
-1,10.0,A,1.0
-2,8.0,A,-0.0
1,12.0,A,-0.0
0,11.0,A,2.0
0,11.0,A,0.0
-3,11.0,A,-0.0
-1,12.0,B,0.0
0,9.0,B,3.0
0,10.0,B,3.0
-4,11.0,A,0.0
0,9.0,A,-0.0
-1,10.0,B,2.0
3,9.0,B,1.0
-1,10.0,B,1.0
0,9.0,B,1.0
-1,10.0,B,2.0
0,10.0,B,0.0
-2,12.0,B,2.0
1,9.0,B,-0.0
-2,11.0,A,1.0
0,8.0,B,2.0
-1,9.0,A,1.0
-1,10.0,B,-0.0
2,10.0,B,2.0
-1,10.0,A,-0.0
0,12.0,A,1.0
-3,10.0,B,1.0
-1,10.0,B,-0.0
0,11.0,B,-0.0
0,10.0,A,-0.0
0,12.0,A,0.0
4,7.0,A,2.0
-1,9.0,A,1.0
0,9.0,A,1.0
1,11.0,A,1.0
1,8.0,A,-1.0
3,8.0,A,1.0
-1,11.0,B,2.0
1,11.0,A,2.0
0,8.0,B,1.0
